実施回,問題とタイトル,質問内容,成否（各アンサー）,選択肢,解説,画像URL
第32回：令和元年度（2020年）,問題117 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕次のうち、Ａ介護福祉職が確認した記録として、適切なものを１つ選びなさい。",1 不正解,施設サービス計画書,施設サービス計画書とは、介護老人福祉施設などにおいて施設サービスを利用者に提供する場合に、支援全体の方針を示すものとして、介護支援専門員（ケアマネジャー）が作成するものである。,
第32回：令和元年度（2020年）,問題117 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕次のうち、Ａ介護福祉職が確認した記録として、適切なものを１つ選びなさい。",2 不正解,インシデント報告書,インシデント報告書は「ヒヤリハット」報告書とも呼ばれ、サービス提供の現場において、事故には至らなかったものの、その寸前でヒヤリとしたり、ハッとしたりということがあった場合に、その再発を防止するために作成するものである。,
第32回：令和元年度（2020年）,問題117 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕次のうち、Ａ介護福祉職が確認した記録として、適切なものを１つ選びなさい。",3 不正解,エコマップ,エコマップとは、利用者とその家族を中心とするさまざまな関係者や機関など、社会資源とのつながりを図式化することにより、関係性や役割を把握しやすくしたものである。,
第32回：令和元年度（2020年）,問題117 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕次のうち、Ａ介護福祉職が確認した記録として、適切なものを１つ選びなさい。",4 不正解,プロセスレコード,プロセスレコードとは、サービス提供の現場において、利用者とサービス提供者との間で行われたコミュニケーションの過程を記録したものである。,
第32回：令和元年度（2020年）,問題117 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕次のうち、Ａ介護福祉職が確認した記録として、適切なものを１つ選びなさい。",5 正解,フェイスシート,フェイスシートとは、年齢、家族構成、これまでの生活状況や身体状況といった、利用者に関する情報を記録したものである。従って、Ａ介護福祉職が確認した記録として、適切である。,
第32回：令和元年度（2020年）,問題118 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕入所当日の昼食後、Ａ介護福祉職はＭさんに歯ブラシと歯磨き粉を渡して、歯磨きを促した。しかし、Ｍさんは歯ブラシと歯磨き粉を持ったまま、不安そうな顔で歯を磨こうとしなかった。このときのＭさんの症状に該当するものとして、適切なものを１つ選びなさい。",1 不正解,幻視,幻視とは、現実には存在していないものが見えてしまう症状であり、レビー小体型認知症や統合失調症などでみられる。,
第32回：令和元年度（2020年）,問題118 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕入所当日の昼食後、Ａ介護福祉職はＭさんに歯ブラシと歯磨き粉を渡して、歯磨きを促した。しかし、Ｍさんは歯ブラシと歯磨き粉を持ったまま、不安そうな顔で歯を磨こうとしなかった。このときのＭさんの症状に該当するものとして、適切なものを１つ選びなさい。",2 正解,失行,失行とは、手足の機能は正常でありながら適切な行動ができないことをいう。歯ブラシと歯磨き粉を使う歯磨きなど、複雑な動作ができないものは観念失行といい、Ｍさんの症状に該当するものとして、適切である。,
第32回：令和元年度（2020年）,問題118 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕入所当日の昼食後、Ａ介護福祉職はＭさんに歯ブラシと歯磨き粉を渡して、歯磨きを促した。しかし、Ｍさんは歯ブラシと歯磨き粉を持ったまま、不安そうな顔で歯を磨こうとしなかった。このときのＭさんの症状に該当するものとして、適切なものを１つ選びなさい。",3 不正解,振戦,振戦とは、意思とは関係なく手足が細かく震えることをいう。パーキンソン病の主な症状のひとつである。,
第32回：令和元年度（2020年）,問題118 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕入所当日の昼食後、Ａ介護福祉職はＭさんに歯ブラシと歯磨き粉を渡して、歯磨きを促した。しかし、Ｍさんは歯ブラシと歯磨き粉を持ったまま、不安そうな顔で歯を磨こうとしなかった。このときのＭさんの症状に該当するものとして、適切なものを１つ選びなさい。",4 不正解,脱抑制,脱抑制とは、礼儀やマナーが欠如して、周囲のひんしゅくを買うような行動をしてしまうことをいい、前頭側頭型認知症（ピック病）にみられる。,
第32回：令和元年度（2020年）,問題118 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕入所当日の昼食後、Ａ介護福祉職はＭさんに歯ブラシと歯磨き粉を渡して、歯磨きを促した。しかし、Ｍさんは歯ブラシと歯磨き粉を持ったまま、不安そうな顔で歯を磨こうとしなかった。このときのＭさんの症状に該当するものとして、適切なものを１つ選びなさい。",5 不正解,常同行動,常同行動とは、目的もなく同じ行動を繰り返すことをいい、前頭側頭型認知症（ピック病）や発達障害などでみられる。,
第32回：令和元年度（2020年）,問題119 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕面会に訪れた妻はＡ介護福祉職に、「最初は夫を施設に入れて申し訳ない気持ちもあったが、元気そうな夫を見て、今はこの施設を利用してよかったと思っている」と話した。Ａ介護福祉職は妻の発言を受けて、介護サービスをもっと気軽に利用してもらうための取り組みが必要であると考えた。そこで、Ａ介護福祉職は施設職員と検討した。その結果、地域の家族介護者を対象に、介護に関する情報提供や交流を図る場を無料で提供することを、独自の事業として継続的に行うことを法人として決定した上で、必要な手続きを行うこととした。Ｕ社会福祉法人が行うこととした事業に該当するものとして、適切なものを１つ選びなさい。",1 正解,公益事業,Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所している。社会福祉法人は自らが経営する社会福祉事業に支障がない限り、公益を目的とする事業（公益事業）と、収益を社会福祉事業または公益事業の経営に充てることを目的とする事業（収益事業）を行うことができるとされている。設問より、Ｕ社会福祉法人は、地域の家族介護者を対象として、介護に関する情報提供や交流を図る場を無料で提供することを継続的に行うとしていることから、この事業は公益事業に該当するものといえる。,
第32回：令和元年度（2020年）,問題119 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕面会に訪れた妻はＡ介護福祉職に、「最初は夫を施設に入れて申し訳ない気持ちもあったが、元気そうな夫を見て、今はこの施設を利用してよかったと思っている」と話した。Ａ介護福祉職は妻の発言を受けて、介護サービスをもっと気軽に利用してもらうための取り組みが必要であると考えた。そこで、Ａ介護福祉職は施設職員と検討した。その結果、地域の家族介護者を対象に、介護に関する情報提供や交流を図る場を無料で提供することを、独自の事業として継続的に行うことを法人として決定した上で、必要な手続きを行うこととした。Ｕ社会福祉法人が行うこととした事業に該当するものとして、適切なものを１つ選びなさい。",2 不正解,日常生活自立支援事業,日常生活自立支援事業とは、認知症、知的障害、精神障害などにより判断能力が不十分な人を対象として、都道府県・指定都市社会福祉協議会が実施主体となって、福祉サービスの利用援助などを行う事業をいう。,
第32回：令和元年度（2020年）,問題119 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕面会に訪れた妻はＡ介護福祉職に、「最初は夫を施設に入れて申し訳ない気持ちもあったが、元気そうな夫を見て、今はこの施設を利用してよかったと思っている」と話した。Ａ介護福祉職は妻の発言を受けて、介護サービスをもっと気軽に利用してもらうための取り組みが必要であると考えた。そこで、Ａ介護福祉職は施設職員と検討した。その結果、地域の家族介護者を対象に、介護に関する情報提供や交流を図る場を無料で提供することを、独自の事業として継続的に行うことを法人として決定した上で、必要な手続きを行うこととした。Ｕ社会福祉法人が行うこととした事業に該当するものとして、適切なものを１つ選びなさい。",3 不正解,相談支援事業,相談支援事業とは、障害者総合支援法に基づき、障害者等や障害児の保護者等を対象として、市町村が実施主体となって、相談に応じたり必要な支援を行ったりする事業をいう。,
第32回：令和元年度（2020年）,問題119 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕面会に訪れた妻はＡ介護福祉職に、「最初は夫を施設に入れて申し訳ない気持ちもあったが、元気そうな夫を見て、今はこの施設を利用してよかったと思っている」と話した。Ａ介護福祉職は妻の発言を受けて、介護サービスをもっと気軽に利用してもらうための取り組みが必要であると考えた。そこで、Ａ介護福祉職は施設職員と検討した。その結果、地域の家族介護者を対象に、介護に関する情報提供や交流を図る場を無料で提供することを、独自の事業として継続的に行うことを法人として決定した上で、必要な手続きを行うこととした。Ｕ社会福祉法人が行うこととした事業に該当するものとして、適切なものを１つ選びなさい。",4 不正解,自立相談支援事業,自立相談支援事業とは、生活困窮者自立支援法に基づき、生活困窮者やその家族等を対象として、福祉事務所を設置する都道府県および市町村が実施主体となって、就労その他の自立に関する相談支援などを行う事業をいう。,
第32回：令和元年度（2020年）,問題119 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題117から問題119まで〕Ｍさん（80歳、男性）は、２年前にアルツハイマー型認知症（dementiaoftheAlzheimer?stype）と診断された。Ｍさんは自宅で暮らし続けることを希望して、介護保険サービスを利用しながら妻と二人で生活していた。その後、Ｍさんの症状が進行して妻の介護負担が大きくなったため、Ｍさんは、Ｕ社会福祉法人が運営する介護老人福祉施設に入所することになった。Ｍさんの入所当日、担当のＡ介護福祉職は、生活相談員が作成した生活歴や家族構成などの基本情報の記録を事前に確認した上で、Ｍさんと関わった。, 〔問題〕面会に訪れた妻はＡ介護福祉職に、「最初は夫を施設に入れて申し訳ない気持ちもあったが、元気そうな夫を見て、今はこの施設を利用してよかったと思っている」と話した。Ａ介護福祉職は妻の発言を受けて、介護サービスをもっと気軽に利用してもらうための取り組みが必要であると考えた。そこで、Ａ介護福祉職は施設職員と検討した。その結果、地域の家族介護者を対象に、介護に関する情報提供や交流を図る場を無料で提供することを、独自の事業として継続的に行うことを法人として決定した上で、必要な手続きを行うこととした。Ｕ社会福祉法人が行うこととした事業に該当するものとして、適切なものを１つ選びなさい。",5 不正解,地域生活支援事業,地域生活支援事業は、障害者総合支援法に基づいて実施されるもので、市町村が実施主体となる事業（選択肢３の相談支援事業もこれに含まれる）と、都道府県が実施主体となる事業（高い専門性や広域的な対応を必要とするもの）がある。,
第32回：令和元年度（2020年）,問題120 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題120から問題122まで〕Ｂさん（22歳、男性）は、19歳の時に統合失調症（schizophrenia）を発症し、精神保健指定医の診察の結果、入院の必要があると診断された。Ｂさん自身からは入院の同意が得られず、父親の同意で精神科病院に入院した。その後、数回の入退院を繰り返した後、21歳から居宅介護を週１回、訪問看護を月２回、デイケアを週３回利用しながら一人暮らしをしている。居宅介護では、料理や掃除、買物などの介護福祉職の支援を受けているが、Ｂさんも調子の良いときは一緒に行っている。訪問看護では、Ｂさんは、服薬を忘れることがあるため、看護師と一緒に薬の飲み忘れがないかを確認している。また、デイケアでは、運動と園芸のグループに参加している。, 〔問題〕Ｂさんが19歳で精神科病院に入院したときの入院形態として、正しいものを１つ選びなさい。",1 不正解,任意入院,?任意入院……患者が自分の意思で入院すること?医療保護入院……精神保健指定医（または特定医師）の診察結果、および家族等のうちいずれかの者の同意を得て、実行される入院?応急入院……措置入院ほどではないが急速を要する場合に、精神保健指定医（または特定医師）１名の診察結果によって実行される入院?措置入院……２名以上の精神保健指定医の診察結果により、自分を傷つけたり他人に危害を加えたりする恐れがあると判断された場合に、都道府県知事の決定によって実行される入院?緊急措置入院……措置入院のうち緊急の場合は精神保健指定医１名の診察結果でよいとするもの本問題では、入院の必要ありとする精神保健指定医の診察結果があり、また、Ｂさん自身から入院の同意が得られず、父親の同意で精神科病院に入院していることから、選択肢２の医療保護入院が正しい。,
第32回：令和元年度（2020年）,問題120 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題120から問題122まで〕Ｂさん（22歳、男性）は、19歳の時に統合失調症（schizophrenia）を発症し、精神保健指定医の診察の結果、入院の必要があると診断された。Ｂさん自身からは入院の同意が得られず、父親の同意で精神科病院に入院した。その後、数回の入退院を繰り返した後、21歳から居宅介護を週１回、訪問看護を月２回、デイケアを週３回利用しながら一人暮らしをしている。居宅介護では、料理や掃除、買物などの介護福祉職の支援を受けているが、Ｂさんも調子の良いときは一緒に行っている。訪問看護では、Ｂさんは、服薬を忘れることがあるため、看護師と一緒に薬の飲み忘れがないかを確認している。また、デイケアでは、運動と園芸のグループに参加している。, 〔問題〕Ｂさんが19歳で精神科病院に入院したときの入院形態として、正しいものを１つ選びなさい。",2 正解,医療保護入院,?任意入院……患者が自分の意思で入院すること?医療保護入院……精神保健指定医（または特定医師）の診察結果、および家族等のうちいずれかの者の同意を得て、実行される入院?応急入院……措置入院ほどではないが急速を要する場合に、精神保健指定医（または特定医師）１名の診察結果によって実行される入院?措置入院……２名以上の精神保健指定医の診察結果により、自分を傷つけたり他人に危害を加えたりする恐れがあると判断された場合に、都道府県知事の決定によって実行される入院?緊急措置入院……措置入院のうち緊急の場合は精神保健指定医１名の診察結果でよいとするもの本問題では、入院の必要ありとする精神保健指定医の診察結果があり、また、Ｂさん自身から入院の同意が得られず、父親の同意で精神科病院に入院していることから、選択肢２の医療保護入院が正しい。,
第32回：令和元年度（2020年）,問題120 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題120から問題122まで〕Ｂさん（22歳、男性）は、19歳の時に統合失調症（schizophrenia）を発症し、精神保健指定医の診察の結果、入院の必要があると診断された。Ｂさん自身からは入院の同意が得られず、父親の同意で精神科病院に入院した。その後、数回の入退院を繰り返した後、21歳から居宅介護を週１回、訪問看護を月２回、デイケアを週３回利用しながら一人暮らしをしている。居宅介護では、料理や掃除、買物などの介護福祉職の支援を受けているが、Ｂさんも調子の良いときは一緒に行っている。訪問看護では、Ｂさんは、服薬を忘れることがあるため、看護師と一緒に薬の飲み忘れがないかを確認している。また、デイケアでは、運動と園芸のグループに参加している。, 〔問題〕Ｂさんが19歳で精神科病院に入院したときの入院形態として、正しいものを１つ選びなさい。",3 不正解,応急入院,?任意入院……患者が自分の意思で入院すること?医療保護入院……精神保健指定医（または特定医師）の診察結果、および家族等のうちいずれかの者の同意を得て、実行される入院?応急入院……措置入院ほどではないが急速を要する場合に、精神保健指定医（または特定医師）１名の診察結果によって実行される入院?措置入院……２名以上の精神保健指定医の診察結果により、自分を傷つけたり他人に危害を加えたりする恐れがあると判断された場合に、都道府県知事の決定によって実行される入院?緊急措置入院……措置入院のうち緊急の場合は精神保健指定医１名の診察結果でよいとするもの本問題では、入院の必要ありとする精神保健指定医の診察結果があり、また、Ｂさん自身から入院の同意が得られず、父親の同意で精神科病院に入院していることから、選択肢２の医療保護入院が正しい。,
第32回：令和元年度（2020年）,問題120 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題120から問題122まで〕Ｂさん（22歳、男性）は、19歳の時に統合失調症（schizophrenia）を発症し、精神保健指定医の診察の結果、入院の必要があると診断された。Ｂさん自身からは入院の同意が得られず、父親の同意で精神科病院に入院した。その後、数回の入退院を繰り返した後、21歳から居宅介護を週１回、訪問看護を月２回、デイケアを週３回利用しながら一人暮らしをしている。居宅介護では、料理や掃除、買物などの介護福祉職の支援を受けているが、Ｂさんも調子の良いときは一緒に行っている。訪問看護では、Ｂさんは、服薬を忘れることがあるため、看護師と一緒に薬の飲み忘れがないかを確認している。また、デイケアでは、運動と園芸のグループに参加している。, 〔問題〕Ｂさんが19歳で精神科病院に入院したときの入院形態として、正しいものを１つ選びなさい。",4 不正解,措置入院,?任意入院……患者が自分の意思で入院すること?医療保護入院……精神保健指定医（または特定医師）の診察結果、および家族等のうちいずれかの者の同意を得て、実行される入院?応急入院……措置入院ほどではないが急速を要する場合に、精神保健指定医（または特定医師）１名の診察結果によって実行される入院?措置入院……２名以上の精神保健指定医の診察結果により、自分を傷つけたり他人に危害を加えたりする恐れがあると判断された場合に、都道府県知事の決定によって実行される入院?緊急措置入院……措置入院のうち緊急の場合は精神保健指定医１名の診察結果でよいとするもの本問題では、入院の必要ありとする精神保健指定医の診察結果があり、また、Ｂさん自身から入院の同意が得られず、父親の同意で精神科病院に入院していることから、選択肢２の医療保護入院が正しい。,
第32回：令和元年度（2020年）,問題120 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題120から問題122まで〕Ｂさん（22歳、男性）は、19歳の時に統合失調症（schizophrenia）を発症し、精神保健指定医の診察の結果、入院の必要があると診断された。Ｂさん自身からは入院の同意が得られず、父親の同意で精神科病院に入院した。その後、数回の入退院を繰り返した後、21歳から居宅介護を週１回、訪問看護を月２回、デイケアを週３回利用しながら一人暮らしをしている。居宅介護では、料理や掃除、買物などの介護福祉職の支援を受けているが、Ｂさんも調子の良いときは一緒に行っている。訪問看護では、Ｂさんは、服薬を忘れることがあるため、看護師と一緒に薬の飲み忘れがないかを確認している。また、デイケアでは、運動と園芸のグループに参加している。, 〔問題〕Ｂさんが19歳で精神科病院に入院したときの入院形態として、正しいものを１つ選びなさい。",5 不正解,緊急措置入院,?任意入院……患者が自分の意思で入院すること?医療保護入院……精神保健指定医（または特定医師）の診察結果、および家族等のうちいずれかの者の同意を得て、実行される入院?応急入院……措置入院ほどではないが急速を要する場合に、精神保健指定医（または特定医師）１名の診察結果によって実行される入院?措置入院……２名以上の精神保健指定医の診察結果により、自分を傷つけたり他人に危害を加えたりする恐れがあると判断された場合に、都道府県知事の決定によって実行される入院?緊急措置入院……措置入院のうち緊急の場合は精神保健指定医１名の診察結果でよいとするもの本問題では、入院の必要ありとする精神保健指定医の診察結果があり、また、Ｂさん自身から入院の同意が得られず、父親の同意で精神科病院に入院していることから、選択肢２の医療保護入院が正しい。,
第32回：令和元年度（2020年）,問題121 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題120から問題122まで〕Ｂさん（22歳、男性）は、19歳の時に統合失調症（schizophrenia）を発症し、精神保健指定医の診察の結果、入院の必要があると診断された。Ｂさん自身からは入院の同意が得られず、父親の同意で精神科病院に入院した。その後、数回の入退院を繰り返した後、21歳から居宅介護を週１回、訪問看護を月２回、デイケアを週３回利用しながら一人暮らしをしている。居宅介護では、料理や掃除、買物などの介護福祉職の支援を受けているが、Ｂさんも調子の良いときは一緒に行っている。訪問看護では、Ｂさんは、服薬を忘れることがあるため、看護師と一緒に薬の飲み忘れがないかを確認している。また、デイケアでは、運動と園芸のグループに参加している。, 〔問題〕Ｂさんは、居宅介護のＣ介護福祉職にはデイケアや生活のことについて安心して話すようになってきた。ある日、Ｃ介護福祉職が掃除をしていて、薬が２週間分内服されていないことを見つけた。また、Ｂさんは、「Ｃさんにだけ話します。みんなが私の悪口を言って、電波を飛ばして監視しています」とおびえながら話した。話を聞いたＣ介護福祉職のＢさんに対する最初の言葉かけとして、最も適切なものを１つ選びなさい。",1 不正解,「今すぐ薬を飲んでください」,Ｂさんの発言内容は、薬を２週間分内服しなかったことによる妄想の現れと思われるが、医師に相談せず、介護福祉職が薬の内服を再開するよう指示することは、不適切である。,
第32回：令和元年度（2020年）,問題121 総合問題,"次の事例を読んで、問いに答えなさい。, 〔事例：問題120から問題122まで〕Ｂさん（22歳、男性）は、19歳の時に統合失調症（schizophrenia）を発症し、精神保健指定医の診察の結果、入院の必要があると診断された。Ｂさん自身からは入院の同意が得られず、父親の同意で精神科病院に入院した。その後、数回の入退院を繰り返した後、21歳から居宅介護を週１回、訪問看護を月２回、デイケアを週３回利用しながら一人暮らしをしている。居宅介護では、料理や掃除、買物などの介護福祉職の支援を受けているが、Ｂさんも調子の良いときは一緒に行っている。訪問看護では、Ｂさんは、服薬を忘れることがあるため、看護師と一緒に薬の飲み忘れがないかを確認している。また、デイケアでは、運動と園芸のグループに参加している。, 〔問題〕Ｂさんは、居宅介護のＣ介護福祉職にはデイケアや生活のことについて安心して話すようになってきた。ある日、Ｃ介護福祉職が掃除をしていて、薬が２週間分内服されていないことを見つけた。また、Ｂさんは、「Ｃさんにだけ話します。みんなが私の悪口を言って、電波を飛ばして監視しています」とおびえながら話した。話を聞いたＣ介護福祉職のＢさんに対する最初の言葉かけとして、最も適切なものを１つ選びなさい。",2 不正解,「悪口の内容を詳しく教えてください」,Ｂさんに悪口の内容を詳しく語らせることは、妄想の症状を助長することにつながるため、不適切である。,
